"setting","method","multiplier","cutoff","TPR_mean","TNR_mean","BA_mean","F2_mean","TPR_sd","TNR_sd","BA_sd","F2_sd","n_reps"
"uniform","RKCCD-IOS",1.4375,7.1875,0.9998,0.994726315789474,0.997263157894737,0.980428884413057,0.00282842712474619,0.00417865483098264,0.00254362403794783,0.0152903341549699,200
"uniform","RKCCD-IOS",1.53125,7.65625,0.9998,0.995136842105263,0.997468421052632,0.981911295996182,0.00282842712474619,0.00399551524084676,0.00247730269314674,0.0146883180835622,200
"uniform","RKCCD-IOS",1.625,8.125,0.9998,0.995452631578947,0.997626315789474,0.983052256883302,0.00282842712474619,0.00382492454117111,0.00241562470087385,0.0141238276503673,200
"uniform","RKCCD-IOS",1.71875,8.59375,0.9996,0.9956,0.9976,0.983422530904891,0.00398993709097647,0.0036749572087233,0.00285735522891649,0.0140541792862732,200
"uniform","RKCCD-IOS",1.8125,9.0625,0.9994,0.995715789473684,0.997557894736842,0.983680074922344,0.00487429933117051,0.00357161219159959,0.00318818235743308,0.0139836466136972,200
"uniform","RKCCD-IOS",1.90625,9.53125,0.999,0.995926315789474,0.997463157894737,0.984114164212864,0.00743480880114262,0.00337738492558014,0.00416824846898678,0.0139593108493789,200
"uniform","RKCCD-IOS",2,10,0.9986,0.996042105263158,0.997321052631579,0.98421661603537,0.0083899916447512,0.00333412853537205,0.00455701746961508,0.0140454965161136,200
"uniform","RKCCD-OOS",0.5,2,0.9832,0.960231578947368,0.971715789473684,0.857826659416876,0.0267081753994134,0.0117846931782067,0.0147422478467138,0.0386180915475363,200
"uniform","RKCCD-OOS",0.59375,2.375,0.9828,0.974484210526316,0.978642105263158,0.89975035738793,0.0267532931331329,0.0101494230383841,0.0143709401761608,0.0372843950718929,200
"uniform","RKCCD-OOS",0.6875,2.75,0.9816,0.983031578947368,0.982315789473684,0.926064170786789,0.0283098434503073,0.00853308184134574,0.0147802285729881,0.0352680705420061,200
"uniform","RKCCD-OOS",0.78125,3.125,0.9816,0.988536842105263,0.985068421052632,0.944484915969563,0.0283098434503073,0.00724288728302096,0.0146690842264906,0.0333000065773466,200
"uniform","RKCCD-OOS",0.875,3.5,0.981,0.991884210526316,0.986442105263158,0.955568281855347,0.0283375206286098,0.00633655231258473,0.0146186974628752,0.0317987640057121,200
"uniform","RKCCD-OOS",0.96875,3.875,0.9806,0.994052631578947,0.987326315789474,0.962832768519566,0.0283488675515846,0.00536609208366173,0.014462570328467,0.0295908282332055,200
"uniform","RKCCD-OOS",1,4,0.9804,0.994652631578947,0.987526315789474,0.964779570268351,0.028352412533723,0.00499820817292904,0.0143880397503472,0.0286105315493233,200
"uniform","RKCCD-OOS",1.0625,4.25,0.9798,0.9956,0.9877,0.967650773599583,0.0291928262682399,0.00440285419601193,0.0147393270659652,0.0280104237276713,200
"uniform","RKCCD-OOS",1.15625,4.625,0.9794,0.996557894736842,0.987978947368421,0.97078037859356,0.0300023449669786,0.00398875072915666,0.0151931325108099,0.0283992036420648,200
"uniform","RKCCD-OOS",1.25,5,0.9788,0.997336842105263,0.988068421052632,0.973111176020305,0.0302512095360162,0.00352200449361683,0.0153102912047296,0.0280040527576199,200
"uniform","RKCCD-OOS",1.34375,5.375,0.9782,0.997852631578947,0.988026315789474,0.974480207247934,0.0307487794422141,0.00296950166123757,0.0155470904904251,0.0277304894598515,200
"uniform","RKCCD-OOS",1.4375,5.75,0.9782,0.998263157894737,0.988231578947368,0.975980193398331,0.0307487794422141,0.00273914008463145,0.0155450570280927,0.0274926494165226,200
"uniform","RKCCD-OOS",1.53125,6.125,0.978,0.998494736842105,0.988247368421053,0.976659035343775,0.0309968388727061,0.00260528519782616,0.0156233088562671,0.0272739870576606,200
"uniform","RKCCD-OOS",1.625,6.5,0.978,0.998663157894737,0.988331578947368,0.977274289131521,0.0309968388727061,0.00242646268346488,0.0156350653350058,0.0272052888626633,200
"uniform","RKCCD-OOS",1.71875,6.875,0.9774,0.998778947368421,0.988089473684211,0.977210154911657,0.030952062140571,0.00226684838382138,0.0155954141799112,0.0269230607404024,200
"uniform","RKCCD-OOS",1.8125,7.25,0.9774,0.998989473684211,0.988194736842105,0.977965807515176,0.030952062140571,0.00195678474250166,0.0155257451291271,0.0262383107425213,200
"uniform","RKCCD-OOS",1.90625,7.625,0.9774,0.999094736842105,0.988247368421053,0.978349286223424,0.030952062140571,0.00178475348650348,0.0155249919867426,0.0261152653897013,200
"uniform","RKCCD-OOS",2,8,0.9772,0.999242105263158,0.988221052631579,0.978730565509109,0.0309345231677828,0.00163536685650518,0.0155158841408339,0.0260088216993275,200
"uniform","UNCCD-IOS",0.5,1.75,1,0.930736842105263,0.965368421052632,0.792763703191464,0,0.0125909599934297,0.00629547999671483,0.0298551344959824,200
"uniform","UNCCD-IOS",0.59375,2.078125,1,0.951652631578947,0.975826315789474,0.845737070656107,0,0.0104538686502833,0.00522693432514162,0.0282630350603585,200
"uniform","UNCCD-IOS",0.6875,2.40625,1,0.966031578947368,0.983015789473684,0.886621506085312,0,0.00975126561312129,0.00487563280656068,0.0289622594101122,200
"uniform","UNCCD-IOS",0.78125,2.734375,1,0.9756,0.9878,0.915848003460211,0,0.00799835726950008,0.00399917863475007,0.0253298128104226,200
"uniform","UNCCD-IOS",0.875,3.0625,1,0.982652631578947,0.991326315789474,0.938698784510944,0,0.00679399192355462,0.00339699596177728,0.0225044893672815,200
"uniform","UNCCD-IOS",0.96875,3.390625,1,0.987126315789474,0.993563157894737,0.953772646327737,0,0.00579604349409273,0.00289802174704645,0.0196864547284263,200
"uniform","UNCCD-IOS",1,3.5,1,0.988526315789474,0.994263157894737,0.958595725444504,0,0.00549451816017543,0.00274725908008779,0.0188071916974794,200
"uniform","UNCCD-IOS",1.0625,3.71875,1,0.990652631578947,0.995326315789474,0.965993741959814,0,0.00481111942114258,0.00240555971057126,0.0168185551187039,200
"uniform","UNCCD-IOS",1.15625,4.046875,1,0.993168421052632,0.996584210526316,0.974892942242307,0,0.00385426118445146,0.00192713059222568,0.0138062207040478,200
"uniform","UNCCD-IOS",1.25,4.375,1,0.994863157894737,0.997431578947368,0.981024495428353,0,0.0035670102901996,0.00178350514509979,0.0129108657089703,200
"uniform","UNCCD-IOS",1.34375,4.703125,1,0.996115789473684,0.998057894736842,0.985582970588173,0,0.00307370812235041,0.00153685406117528,0.0112030082093467,200
"uniform","UNCCD-IOS",1.4375,5.03125,1,0.997252631578947,0.998626315789474,0.989761327471067,0,0.00260374596169283,0.0013018729808465,0.0095935748609599,200
"uniform","UNCCD-IOS",1.53125,5.359375,1,0.997789473684211,0.998894736842105,0.991747662961339,0,0.00236673071420969,0.00118336535710491,0.00875554123824271,200
"uniform","UNCCD-IOS",1.625,5.6875,1,0.998273684210526,0.999136842105263,0.993538583822343,0,0.00199956843295409,0.000999784216477102,0.00743351633809168,200
"uniform","UNCCD-IOS",1.71875,6.015625,1,0.998568421052632,0.999284210526316,0.994634828173522,0,0.00180028471913413,0.00090014235956711,0.00670562399865525,200
"uniform","UNCCD-IOS",1.8125,6.34375,1,0.998863157894737,0.999431578947369,0.995737901380605,0,0.00167306547840954,0.000836532739204758,0.00624271350840996,200
"uniform","UNCCD-IOS",1.90625,6.671875,1,0.999157894736842,0.999578947368421,0.996837851323272,0,0.00139997792665841,0.000699988963329154,0.0052392688014046,200
"uniform","UNCCD-IOS",2,7,1,0.999431578947368,0.999715789473684,0.997862752507499,0,0.00113086677921093,0.000565433389605373,0.00424162916946473,200
"uniform","UNCCD-OOS",0.5,1.5,0.841,0.944336842105263,0.892668421052632,0.713597465878287,0.0754950163086093,0.0124247189528971,0.0392630192727819,0.0652573657721544,200
"uniform","UNCCD-OOS",0.59375,1.78125,0.8364,0.968252631578947,0.902326315789474,0.769155898295565,0.073962098130049,0.00977791219639829,0.0380345930761182,0.0662946619009512,200
"uniform","UNCCD-OOS",0.6875,2.0625,0.8322,0.982673684210526,0.907436842105263,0.806049847184539,0.073908540520085,0.00771349031746881,0.0374274098482426,0.0652562717912992,200
"uniform","UNCCD-OOS",0.78125,2.34375,0.827,0.990831578947369,0.908915789473684,0.826128087585341,0.0746919973783123,0.00514340352968268,0.0372813069841088,0.0633828713488955,200
"uniform","UNCCD-OOS",0.875,2.625,0.8238,0.994947368421053,0.909373684210526,0.836394657012349,0.0748167610812809,0.00367380553601693,0.0373448297860985,0.0636641673240132,200
"uniform","UNCCD-OOS",0.96875,2.90625,0.821,0.997347368421053,0.909173684210526,0.841774893716404,0.0747995646669943,0.00262115895262584,0.0373953067918696,0.0641528803923649,200
"uniform","UNCCD-OOS",1,3,0.8198,0.997926315789474,0.908863157894737,0.842661949997311,0.0746984557837872,0.00241080821913222,0.0373956019767402,0.0645102880251617,200
"uniform","UNCCD-OOS",1.0625,3.1875,0.8178,0.998526315789474,0.908163157894737,0.842896756059676,0.0749885083323408,0.00207864687700085,0.0375320588011648,0.0648169535862231,200
"uniform","UNCCD-OOS",1.15625,3.46875,0.8152,0.999231578947368,0.907215789473684,0.842955960938211,0.0751879387312438,0.00152453178487719,0.0376037784576158,0.0648852708986397,200
"uniform","UNCCD-OOS",1.25,3.75,0.8134,0.999494736842105,0.906447368421053,0.842260722416187,0.0753713753430673,0.00119837396852243,0.0376906753329978,0.0650209028491162,200
"uniform","UNCCD-OOS",1.34375,4.03125,0.8112,0.999652631578947,0.905426315789474,0.840852951027695,0.0764183145192947,0.000962036380068715,0.0382211539585006,0.0660698044943123,200
"uniform","UNCCD-OOS",1.4375,4.3125,0.809,0.999768421052632,0.904384210526316,0.839302564045179,0.0774920971817652,0.000811668958297236,0.0387589569102104,0.0670984542952785,200
"uniform","UNCCD-OOS",1.53125,4.59375,0.8068,0.999831578947368,0.903315789473684,0.837590828902491,0.0779753858856761,0.000679320511138586,0.0389992649091721,0.0676300959847158,200
"uniform","UNCCD-OOS",1.625,4.875,0.805,0.999884210526316,0.902442105263158,0.836198748149094,0.0779575970298814,0.000525415786962284,0.0389779874923979,0.0675667520022746,200
"uniform","UNCCD-OOS",1.71875,5.15625,0.8034,0.999905263157895,0.901652631578947,0.834889463596546,0.0778378678301359,0.000485769600004757,0.0389299245409455,0.0675502306964417,200
"uniform","UNCCD-OOS",1.8125,5.4375,0.8018,0.999936842105263,0.900868421052632,0.833603496283648,0.0777882708085023,0.000360032200196047,0.0388980062036793,0.0674570321375691,200
"uniform","UNCCD-OOS",1.90625,5.71875,0.8006,0.999968421052632,0.900284210526316,0.832663822989514,0.077910140224163,0.000256542070061644,0.0389635498241267,0.0676100063775435,200
"uniform","UNCCD-OOS",2,6,0.7976,0.999968421052632,0.898784210526316,0.830036675964353,0.0786458252493146,0.000256542070061644,0.0393307078285292,0.0682809416587526,200
